AudioCollection,ID_Audio_Specimen,ID_note,Clade,Specie,elevation,elevationfilter,length beak,peak Frequency,minimum Frequency,maximum Frequency,duration,note duration,habitat ,bodyMass
Xeno-canto,XC260507,1,Brilliants,Ensifera ensifera,2550.0000,2809.0000,80.0000,8527.1480,6459.9610,8613.2810,1.9430,0.0696,Bosque Andino,11.2
Xeno-canto,XC260507,2,Brilliants,Ensifera ensifera,2550.0000,2809.0000,80.0000,8096.4840,6373.8280,8354.8830,3.0150,0.0752,Bosque Andino,11.2
Xeno-canto,XC260507,3,Brilliants,Ensifera ensifera,2550.0000,2809.0000,80.0000,7838.0860,7235.1560,8354.8830,12.4990,0.0658,Bosque Andino,11.2
Xeno-canto,XC148351,1,Brilliants,Ensifera ensifera,2900.0000,2809.0000,80.0000,7235.1560,6287.6950,8871.6800,63.3540,0.0367,Bosque Andino,11.2
Xeno-canto,XC148351,2,Brilliants,Ensifera ensifera,2900.0000,2809.0000,80.0000,8354.8830,6373.8280,8441.0160,63.4760,0.0527,Bosque Andino,11.2
Xeno-canto,XC148351,3,Brilliants,Ensifera ensifera,2900.0000,2809.0000,80.0000,8182.6170,6287.6950,8268.7500,63.8550,0.0616,Bosque Andino,11.2
Xeno-canto,XC583112,1,Brilliants,Ensifera ensifera,2600.0000,2809.0000,80.0000,7125.0000,6468.7500,8343.7500,3.2470,0.0576,Bosque Andino,11.2
Xeno-canto,XC583112,2,Brilliants,Ensifera ensifera,2600.0000,2809.0000,80.0000,7312.5000,6375.0000,8062.5000,6.6970,0.0407,Bosque Andino,11.2
Xeno-canto,XC583112,3,Brilliants,Ensifera ensifera,2600.0000,2809.0000,80.0000,6281.2500,5250.0000,7968.7500,8.2930,0.0237,Bosque Andino,11.2
Xeno-canto,XC250817,1,Brilliants,Ensifera ensifera,3500.0000,2809.0000,80.0000,7235.1560,2583.9840,7665.8200,1.7950,0.0167,Bosque Andino,11.2
Xeno-canto,XC250817,2,Brilliants,Ensifera ensifera,3500.0000,2809.0000,80.0000,5770.8980,2239.4530,6890.6250,2.2230,0.0269,Bosque Andino,11.2
Xeno-canto,XC250817,3,Brilliants,Ensifera ensifera,3500.0000,2809.0000,80.0000,3789.8440,1981.0550,6459.9610,2.6730,0.0125,Bosque Andino,11.2
Xeno-canto,XC154231,1,Brilliants,Ensifera ensifera,2900.0000,2809.0000,80.0000,7321.2890,6890.6250,8613.2810,3.3520,0.0185,Bosque Andino,11.2
Xeno-canto,XC154231,2,Brilliants,Ensifera ensifera,2900.0000,2809.0000,80.0000,8699.4140,7321.2890,14728.7110,3.9410,0.0221,Bosque Andino,11.2
Xeno-canto,XC154231,3,Brilliants,Ensifera ensifera,2900.0000,2809.0000,80.0000,8613.2810,7838.0860,8785.5470,19.4050,0.0221,Bosque Andino,11.2
Xeno-canto,XC17326,1,Brilliants,Ensifera ensifera,1600.0000,2809.0000,80.0000,8156.2500,7125.0000,0.0216,2.8150,0.0216,Bosque Andino,11.2
Xeno-canto,XC17326,2,Brilliants,Ensifera ensifera,1600.0000,2809.0000,80.0000,7500.0000,6937.5000,0.0239,3.1280,0.0239,Bosque Andino,11.2
Xeno-canto,XC17326,3,Brilliants,Ensifera ensifera,1600.0000,2809.0000,80.0000,8343.7500,7312.5000,0.0142,4.9270,0.0142,Bosque Andino,11.2
Xeno-canto,XC15102,1,Brilliants,Ensifera ensifera,3400.0000,2809.0000,80.0000,8500.0000,6250.0000,8562.5000,0.9180,0.0235,Bosque Andino,11.2
Xeno-canto,XC15102,2,Brilliants,Ensifera ensifera,3400.0000,2809.0000,80.0000,8500.0000,6375.0000,8562.5000,3.1380,0.0365,Bosque Andino,11.2
Xeno-canto,XC15102,3,Brilliants,Ensifera ensifera,3400.0000,2809.0000,80.0000,8562.5000,6687.5000,8625.0000,4.1590,0.0274,Bosque Andino,11.2
Xeno-canto,XC78585,1,Brilliants,Ensifera ensifera,2200.0000,2809.0000,80.0000,9468.7500,6000.0000,9562.5000,0.8650,0.0251,Bosque Andino,11.2
Xeno-canto,XC78585,2,Brilliants,Ensifera ensifera,2200.0000,2809.0000,80.0000,9656.2500,7406.2500,9750.0000,2.4160,0.0268,Bosque Andino,11.2
Xeno-canto,XC78585,3,Brilliants,Ensifera ensifera,2200.0000,2809.0000,80.0000,8906.2500,7031.2500,9187.5000,3.8830,0.0284,Bosque Andino,11.2
Xeno-canto,XC578584,1,Brilliants,Ensifera ensifera,2200.0000,2809.0000,80.0000,9093.7500,8437.5000,9468.7500,0.2740,0.0308,Bosque Andino,11.2
Xeno-canto,XC578584,2,Brilliants,Ensifera ensifera,2200.0000,2809.0000,80.0000,9468.7500,7125.0000,9562.5000,1.7300,0.0293,Bosque Andino,11.2
Xeno-canto,XC578584,3,Brilliants,Ensifera ensifera,2200.0000,2809.0000,80.0000,8906.2500,6937.5000,9000.0000,3.3980,0.0284,Bosque Andino,11.2
Xeno-canto,XC273495,1,Brilliants,Ensifera ensifera,3150.0000,2809.0000,80.0000,6287.6950,5770.8980,6373.8280,1.4190,0.1462,Bosque Andino,11.2
Xeno-canto,XC273495,2,Brilliants,Ensifera ensifera,3150.0000,2809.0000,80.0000,6373.8280,5857.0310,6459.9610,7.6180,0.1193,Bosque Andino,11.2
Xeno-canto,XC273495,3,Brilliants,Ensifera ensifera,3150.0000,2809.0000,80.0000,6373.8280,6115.4300,6459.9610,9.8840,0.1270,Bosque Andino,11.2
Xeno-canto,XC513948,1,Brilliants,Heliomaster longirostris,260.0000,464.0000,31.0000,4651.1720,3359.1800,9388.4770,1.3870,0.0320,Bosque Andino,6.6
Xeno-canto,XC513948,2,Brilliants,Heliomaster longirostris,260.0000,464.0000,31.0000,4478.9060,3445.3120,8785.5470,2.0780,0.0358,Bosque Andino,6.6
Xeno-canto,XC513948,3,Brilliants,Heliomaster longirostris,260.0000,464.0000,31.0000,4392.7730,3531.4450,8613.2810,2.7020,0.0404,Bosque Andino,6.6
Xeno-canto,XC493184,1,Brilliants,Heliomaster longirostris,260.0000,464.0000,31.0000,5254.1020,4737.3050,5340.2340,5.9570,0.3325,Bosque Andino,6.6
Xeno-canto,XC493184,2,Brilliants,Heliomaster longirostris,260.0000,464.0000,31.0000,5254.1020,4823.4380,5340.2340,8.9010,0.3040,Bosque Andino,6.6
Xeno-canto,XC493184,3,Brilliants,Heliomaster longirostris,260.0000,464.0000,31.0000,4995.7030,4823.4380,5340.2340,11.4190,0.2559,Bosque Andino,6.6
Xeno-canto,XC469149,1,Brilliants,Heliomaster longirostris,700.0000,464.0000,31.0000,5156.2500,4875.0000,5625.0000,5.9690,0.1763,Bosque Andino,6.6
Xeno-canto,XC469149,2,Brilliants,Heliomaster longirostris,700.0000,464.0000,31.0000,5343.7500,4875.0000,5625.0000,7.8380,0.1461,Bosque Andino,6.6
Xeno-canto,XC469149,3,Brilliants,Heliomaster longirostris,700.0000,464.0000,31.0000,5343.7500,4875.0000,5625.0000,10.0150,0.2015,Bosque Andino,6.6
