Numero catalogo,Clado,Genero,Especie,Sexo,Elevación,Pico,Ala,Cola,bodymass,Comportamiento,Familia 1,Familia 2,Familia 3,Flor,Tipo flor,HabitatDensidad,Habitat 
29413,Brillantes,Haplophaedia,Haplophaedia aureliae,M,2200,18,55,37,NA,No territorial,Fabaceae,,,,Flor tubular,1,Bosque
30156,Brillantes,Haplophaedia,Haplophaedia aureliae,M,2200,20,58,42,NA,No territorial,Fabaceae,,,,Flor tubular,1,Bosque
33338,Brillantes,Haplophaedia,Haplophaedia aureliae,M,1750,22,60,44,5.6,No territorial,Fabaceae,,,,Flor tubular,1,Bosque
25475,Brillantes,Haplophaedia,Haplophaedia aureliae,M,2000,23,60,44,NA,No territorial,Fabaceae,,,,Flor tubular,1,Bosque
34769,Brillantes,Haplophaedia,Haplophaedia aureliae,M,1650,18,60,41,4.2,No territorial,Fabaceae,,,,Flor tubular,1,Bosque
40057,Brillantes,Haplophaedia,Haplophaedia aureliae ,H,2069,18,52,39,NA,No territorial,Fabaceae,,,,Flor tubular,1,Bosque
39401,Brillantes,Haplophaedia,Haplophaedia aureliae ,H,1650,18,54,41,4.7,No territorial,Fabaceae,,,,Flor tubular,1,Bosque
34340,Brillantes,Haplophaedia,Haplophaedia aureliae ,H,1630,19,57,37,4.25,No territorial,Fabaceae,,,,Flor tubular,1,Bosque
33156,Brillantes,Haplophaedia,Haplophaedia aureliae ,H,2005,17,53,38,4.4,No territorial,Fabaceae,,,,Flor tubular,1,Bosque
33314,Brillantes,Haplophaedia,Haplophaedia aureliae,H,1750,21,56,34,5.2,No territorial,Fabaceae,,,,Flor tubular,1,Bosque
36994,Brillantes,Eriocnemis,Eriocnemis  cupreoventris,M,3100,18,67,40,5.9,No territorial,Ericaceae,,,"Fuchsia, Passiflora, Aetanthus, Bomarea",Flor tubular,2,Bosque
39990,Brillantes,Eriocnemis,Eriocnemis  cupreoventris,M,3020,18,60,41,5.4,No territorial,Ericaceae,,,"Fuchsia, Passiflora, Aetanthus, Bomarea",Flor tubular,2,Bosque
34737,Brillantes,Eriocnemis,Eriocnemis  cupreoventris,M,2900,18,61,44,5.9,No territorial,Ericaceae,,,"Fuchsia, Passiflora, Aetanthus, Bomarea",Flor tubular,2,Bosque
20296,Brillantes,Eriocnemis,Eriocnemis  cupreoventris,M,3250,17,61,41,NA,No territorial,Ericaceae,,,"Fuchsia, Passiflora, Aetanthus, Bomarea",Flor tubular,2,Bosque
20297,Brillantes,Eriocnemis,Eriocnemis  cupreoventris,M,3250,17,61,38,NA,No territorial,Ericaceae,,,"Fuchsia, Passiflora, Aetanthus, Bomarea",Flor tubular,2,Bosque
35484,Brillantes,Eriocnemis,Eriocnemis  cupreoventris,H,2890,18,59,45,5.3,No territorial,Ericaceae,,,"Fuchsia, Passiflora, Aetanthus, Bomarea",Flor tubular,2,Bosque
36407,Brillantes,Eriocnemis,Eriocnemis  cupreoventris,H,3100,18,57,32,4.7,No territorial,Ericaceae,,,"Fuchsia, Passiflora, Aetanthus, Bomarea",Flor tubular,2,Bosque
34738,Brillantes,Eriocnemis,Eriocnemis  cupreoventris,H,2900,18,55,43,5.15,No territorial,Ericaceae,,,"Fuchsia, Passiflora, Aetanthus, Bomarea",Flor tubular,2,Bosque
